,variable,data_type,test
0,ACCTAGE,continuous,
1,DDA,binary,
2,DDABAL,continuous,
3,DEP,continuous,
4,DEPAMT,continuous,
5,CASHBK,continuous,
6,CHECKS,continuous,
7,DIRDEP,binary,
8,NSF,binary,
9,NSFAMT,continuous,
10,PHONE,continuous,
11,TELLER,continuous,
12,SAV,binary,
13,SAVBAL,continuous,
14,ATM,binary,
15,ATMAMT,continuous,
16,POS,continuous,
17,POSAMT,continuous,
18,CD,binary,
19,CDBAL,continuous,
20,IRA,binary,
21,IRABAL,continuous,
22,LOC,binary,
23,LOCBAL,continuous,
24,INV,binary,
25,INVBAL,continuous,
26,ILS,binary,
27,ILSBAL,continuous,
28,MM,binary,
29,MMBAL,continuous,
30,MMCRED,continuous,
31,MTG,binary,
32,MTGBAL,continuous,
33,CC,binary,
34,CCBAL,continuous,
35,CCPURC,continuous,
36,SDB,binary,
37,INCOME,continuous,
38,HMOWN,binary,
39,LORES,continuous,
40,HMVAL,continuous,
41,AGE,continuous,
42,CRSCORE,continuous,
43,MOVED,binary,
44,INAREA,binary,
45,INS,binary,
46,BRANCH,nominal,
47,RES,nominal,
